time,epoch,batch,loss,cost
0min2sec,59,0,0.061,4.287
0min2sec,59,10,0.051,4.644
0min2sec,59,20,0.047,4.427
0min2sec,59,30,0.048,4.475
0min2sec,59,40,0.047,4.477
0min2sec,59,50,0.048,4.555
0min2sec,59,60,0.048,4.537
0min2sec,59,70,0.048,4.636
0min2sec,59,80,0.049,4.644
0min2sec,59,90,0.048,4.633
0min2sec,60,0,0.058,3.576
0min2sec,60,10,0.053,4.520
0min2sec,60,20,0.050,4.756
0min2sec,60,30,0.049,4.705
0min2sec,60,40,0.049,4.704
0min2sec,60,50,0.048,4.737
0min2sec,60,60,0.048,4.646
0min2sec,60,70,0.048,4.600
0min2sec,60,80,0.048,4.562
0min2sec,60,90,0.049,4.575
0min2sec,61,0,0.044,5.116
0min2sec,61,10,0.045,4.928
0min2sec,61,20,0.045,4.817
0min2sec,61,30,0.045,4.670
0min2sec,61,40,0.049,4.656
0min2sec,61,50,0.049,4.646
0min2sec,61,60,0.049,4.710
0min2sec,61,70,0.049,4.708
0min2sec,61,80,0.049,4.656
0min2sec,61,90,0.048,4.629
0min2sec,62,0,0.039,5.014
0min2sec,62,10,0.042,4.262
0min2sec,62,20,0.045,4.445
0min2sec,62,30,0.044,4.458
0min2sec,62,40,0.043,4.470
0min2sec,62,50,0.044,4.510
0min2sec,62,60,0.045,4.547
0min2sec,62,70,0.045,4.537
0min2sec,62,80,0.045,4.475
0min2sec,62,90,0.045,4.486
0min2sec,63,0,0.035,4.761
0min2sec,63,10,0.047,4.516
0min2sec,63,20,0.046,4.375
0min2sec,63,30,0.047,4.526
0min2sec,63,40,0.047,4.609
0min2sec,63,50,0.047,4.627
0min2sec,63,60,0.046,4.646
0min2sec,63,70,0.048,4.603
0min2sec,63,80,0.047,4.547
0min2sec,63,90,0.047,4.528
0min3sec,64,0,0.054,3.846
0min2sec,64,10,0.048,4.480
0min2sec,64,20,0.047,4.367
0min2sec,64,30,0.049,4.336
0min2sec,64,40,0.047,4.409
0min2sec,64,50,0.048,4.426
0min2sec,64,60,0.048,4.420
0min2sec,64,70,0.047,4.388
0min2sec,64,80,0.048,4.377
0min2sec,64,90,0.048,4.378
0min2sec,65,0,0.053,4.480
0min2sec,65,10,0.050,4.852
0min3sec,65,20,0.047,4.632
0min2sec,65,30,0.050,4.596
0min2sec,65,40,0.047,4.595
0min2sec,65,50,0.048,4.565
0min2sec,65,60,0.048,4.550
0min2sec,65,70,0.047,4.497
0min2sec,65,80,0.048,4.422
0min2sec,65,90,0.047,4.392
0min2sec,66,0,0.059,5.359
0min2sec,66,10,0.040,4.481
0min2sec,66,20,0.041,4.556
0min2sec,66,30,0.044,4.550
0min2sec,66,40,0.045,4.598
0min2sec,66,50,0.046,4.499
0min2sec,66,60,0.048,4.477
0min2sec,66,70,0.048,4.458
0min2sec,66,80,0.049,4.491
0min2sec,66,90,0.049,4.463
0min2sec,67,0,0.047,5.758
0min2sec,67,10,0.044,4.865
0min2sec,67,20,0.045,4.720
0min2sec,67,30,0.045,4.589
0min2sec,67,40,0.046,4.565
0min2sec,67,50,0.046,4.513
0min2sec,67,60,0.045,4.525
0min2sec,67,70,0.045,4.512
0min2sec,67,80,0.044,4.512
0min2sec,67,90,0.045,4.489
0min2sec,68,0,0.042,4.144
0min2sec,68,10,0.044,4.162
0min2sec,68,20,0.047,4.337
0min2sec,68,30,0.046,4.358
0min2sec,68,40,0.048,4.398
0min3sec,68,50,0.048,4.489
0min2sec,68,60,0.048,4.501
0min2sec,68,70,0.047,4.477
0min2sec,68,80,0.047,4.462
0min2sec,68,90,0.048,4.458
0min2sec,69,0,0.043,4.938
0min2sec,69,10,0.039,4.570
0min2sec,69,20,0.041,4.445
0min2sec,69,30,0.042,4.392
0min2sec,69,40,0.042,4.385
0min2sec,69,50,0.043,4.445
0min2sec,69,60,0.044,4.430
0min2sec,69,70,0.044,4.440
0min2sec,69,80,0.044,4.428
0min2sec,69,90,0.044,4.435
0min2sec,70,0,0.053,5.224
0min2sec,70,10,0.048,4.438
0min2sec,70,20,0.049,4.436
0min2sec,70,30,0.047,4.421
0min2sec,70,40,0.046,4.430
0min2sec,70,50,0.046,4.492
0min2sec,70,60,0.048,4.448
0min2sec,70,70,0.049,4.445
0min2sec,70,80,0.049,4.452
0min2sec,70,90,0.048,4.434
0min2sec,71,0,0.033,4.539
0min2sec,71,10,0.049,4.414
0min2sec,71,20,0.050,4.486
0min2sec,71,30,0.048,4.512
0min2sec,71,40,0.048,4.497
0min2sec,71,50,0.048,4.455
0min2sec,71,60,0.048,4.481
0min2sec,71,70,0.047,4.530
0min2sec,71,80,0.047,4.521
0min2sec,71,90,0.047,4.523
0min2sec,72,0,0.042,5.067
0min2sec,72,10,0.043,4.742
0min2sec,72,20,0.041,4.636
0min2sec,72,30,0.042,4.570
0min2sec,72,40,0.043,4.472
0min2sec,72,50,0.044,4.516
0min2sec,72,60,0.045,4.523
0min2sec,72,70,0.045,4.542
0min2sec,72,80,0.045,4.564
0min2sec,72,90,0.044,4.530
0min2sec,73,0,0.029,3.661
0min2sec,73,10,0.047,4.711
0min2sec,73,20,0.043,4.494
0min2sec,73,30,0.045,4.471
0min2sec,73,40,0.045,4.460
0min2sec,73,50,0.045,4.397
0min2sec,73,60,0.044,4.387
0min2sec,73,70,0.045,4.382
0min2sec,73,80,0.045,4.364
0min2sec,73,90,0.045,4.354
0min2sec,74,0,0.035,4.572
0min2sec,74,10,0.043,3.997
0min2sec,74,20,0.042,4.264
0min2sec,74,30,0.042,4.227
0min2sec,74,40,0.043,4.283
0min2sec,74,50,0.044,4.267
0min2sec,74,60,0.044,4.321
0min2sec,74,70,0.044,4.333
0min2sec,74,80,0.044,4.357
0min2sec,74,90,0.044,4.378
0min2sec,75,0,0.061,3.597
0min2sec,75,10,0.048,4.352
0min2sec,75,20,0.044,4.497
0min2sec,75,30,0.042,4.513
0min2sec,75,40,0.042,4.578
0min2sec,75,50,0.042,4.562
0min2sec,75,60,0.042,4.567
0min2sec,75,70,0.042,4.559
0min2sec,75,80,0.042,4.635
0min2sec,75,90,0.042,4.639
0min2sec,76,0,0.076,4.716
0min2sec,76,10,0.050,4.371
0min2sec,76,20,0.045,4.357
0min2sec,76,30,0.045,4.419
0min2sec,76,40,0.043,4.334
0min2sec,76,50,0.043,4.288
0min2sec,76,60,0.043,4.317
0min2sec,76,70,0.044,4.313
0min2sec,76,80,0.044,4.314
0min2sec,76,90,0.045,4.285
0min2sec,77,0,0.037,4.318
0min2sec,77,10,0.038,4.335
0min2sec,77,20,0.039,4.437
0min2sec,77,30,0.041,4.352
0min2sec,77,40,0.042,4.377
0min2sec,77,50,0.042,4.391
